Description,Quantity,Designator,Manufacturer,Manufacturer Part Number,Part Number,Digikey,Farnell,Mouser,RS,Switch possibility,Layer
"CAP CER 1µF 6,3V X5R 0402",11,"C1, C2, C10, C12, C31, C46, C47, C62, C63, C77, C80",Taiyo Yuden,JMK105BJ105KV-F,"1µF-10%-6,3V-X5R-0402",,,963-JMK105BJ105KV-F,,True,"Bottom, Top"
CAP CER 10nF 10V X7R 0402,1,C13,AVX,0402ZC103KAT2A,10nF-10%-10V-X7R-0402,,,581-0402ZC103KAT2A,,True,Top
CAP CER 100pF 10V X7R 0402,1,C15,WURTH Electronics,885012205001,100pF-10%-10V-X7R-0402,732-7496-1-ND,2812288,710-885012205001,,True,Top
"CAP CER 200mF 3,3V Supercap 6,8X11,7x1,8",1,C17,Elna America,DSK-3R3H204T614-H2L,"200mF-20%-3,3V-Supercap-6,8X11,7x1,8",604-1147-1-ND,,555-DSK3R3H204T614H2,,False,Top
"CAP CER 4,7µF 6,3V X5R 0402",6,"C25, C32, C34, C55, C57, C86",Murata,GRM155R60J475ME8D,"4,7µF-20%-6,3V-X5R-0402",490-5408-6-ND,,81-GRM155R60J475ME8D,,True,"Top, Bottom"
CAP CER 15pF 10V C0G 0402,4,"C26, C27, C28, C29",KEMET,C0402C150J8HACTU,15pF-5%-10V-C0G-0402,,3784148,80-C0402C150J8HACTU,,True,Bottom
CAP CER 47µF 4V X5R 0603,2,"C3, C87",Taiyo Yuden,AMK107BBJ476MA-RE,47µF-20%-4V-X5R-0603,,,963-AMK107BBJ476MARE,,True,Top
"CAP CER 10µF 6,3V X5R 0402",6,"C4, C8, C52, C64, C83, C84",Murata,GRM155R60J106ME15D,"10µF-20%-6,3V-X5R-0402",490-13238-1-ND,-,81-GRM155R60J106ME5D,-,True,"Top, Bottom"
CAP CER 33pF 16V COG 0402,1,C42,WURTH Electronics,885012005028,33pF-5%-16V-COG-0402,732-7444-1-ND,,710-885012005028,,True,Bottom
"CAP CER 4,7µF 16V X5R 0402",2,"C44, C45",Kyocera AVX,0402YD475MAT2A,"4,7µF-20%-16V-X5R-0402",478-10788-1-ND,,581-0402YD475MAT2A,,True,Top
"CAP CER 100nF 6,3V X5R 0402",38,"C5, C9, C11, C14, C16, C18, C19, C20, C21, C22, C23, C24, C30, C33, C35, C36, C37, C38, C39, C40, C41, C43, C48, C49, C50, C51, C54, C56, C58, C69, C70, C71, C72, C75, C78, C79, C81, C82",Kyocera AVX,0402YD104KAT2A,"100nF-10%-6,3V-X5R-0402",478-1126-1-ND,,581-0402YD104K,,True,"Top, Bottom"
"CAP CER 220nF 6,3V X7R 0603",1,C53,KEMET,C0603C224K9RACTU,"220nF-10%-6,3V-X7R-0603",399-9046-1-ND,,80-C0603C224K9R,,True,Bottom
CAP CER 470pF 25V X7R 0402,1,C6,Yageo,AC0402KRX7R8BB471,470pF-10%-25V-X7R-0402,,,603-AC402KRX7R8BB471,,True,Top
CAP CER 15µF 25V TANT 1210,1,C7,Panasonic,25TQC15MYFB,15µF-20%-25V-TANT-1210,P16204CT-ND,2982721,667-25TQC15MYFB,,True,Top
CAP CER 22pF 16V COG 0402,2,"C73, C74",Murata,GJM0225C1C220JB01L,22pF-5%-16V-COG-0402,-,-,80-C0402C220J4GAUTO,-,True,Bottom
CAP CER 10pF 10V COG 0402 5%,1,C85,WURTH Electronics,885012005007,10pF-5%-10V-COG-0402,,2533781,710-885012005007,,True,Top
Suppresseurs ESD / diodes TVS WE-TVS High Speed 5uA 5VDC 4+1,1,D1,Wurth,WE-TVS_824015,WE-TVS_824015,,,710-824015,,False,Bottom
ESD Suppressors / TVS Diodes Transient Voltage Suppressor PP,5,"D2, D4, D10, D13, D24",Diodes Incorporated,D5V0H1B2LP-7B,D5V0H1B2LP-7B,D5V0H1B2LP-7BDICT-ND,,621-D5V0H1B2LP-7B,,False,"Top, Bottom"
Diode Schottky 40 V 1A Montage en surface SDO-323HE,1,D25,OnSemiconductor ,SS14HE,SS14HE,512-SS14HE,2929794,,,False,Top
Diode 40 V 100mA Surface Mount 0402C/SOD-923F,2,"D26, D27",Comchip,CDBQR0140R-HF,CDBQR0140R-HF,CDBQR0140R-HF-ND,,,,False,Bottom
Diode Schottky 40 V 1A Montage en surface SOD-123,1,D3,Torex Semiconductor,XBS104S14R-G,XBS104S14R-G,,,865-XBS104S14R-G,,False,Top
Diode Schottky 30 V 1A Montage en surface SOD-123,4,"D5, D6, D7, D15",SMC diode solutions,MBR130HWTR,MBR130HWTR,1655-1437-1-ND,,,,False,"Top, Bottom"
Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT,13,"D8, D9, D11, D12, D14, D16, D17, D18, D19, D20, D21, D22, D23",OnSemiconductor ,ESD8351XV2T1G,ESD8351XV2T1G,,2770609,863-ESD8351XV2T1G,,False,"Bottom, Top"
"Fusible 50V 1,25 A Slow blow",1,F1,Bourns,SF-0603SP125-2,SF-0603SP125-2,,,652-SF-0603S125-2,,False,Top
Chip Ferrite Bead 300 ohm à 100MHZ,1,FB1,WURTH,742792641,742792641,,,710-742792641,,False,Bottom
Chip Ferrite Bead 330 ohm à 100MHZ,1,FB2,MURATA,BLM18RK102SN1D,BLM18RK102SN1D,490-5228-1-ND,,81-BLM18RK102SN1D,,False,Bottom
"CONN header smd 2 positions 1,25 mm",1,J1,Amphenol,10114830-10102LF,1011483010102LF,,,609-5378-1-ND,,False,Bottom
Connector micro USB Bottom-SMT No Peg,1,J2,GCT,USB3080-30-00-A,USB3080-30-00-A,,,640-USB3080-30-00-A,,False,Bottom
"Connecteur, embase Montage en surface à angle droit 4 positions (2,00mm)",2,"J3, J4",JST,S4B-PH-SM4-TB(LF)(SN),S4B-PH-SM4-TB(LF)(SN),455-1751-1-ND,9492631,,,False,Bottom
"FFC/FPC connector 0,50 Pitch Slider Right angle TOP Contact",1,J7,Molex,52435-2471,52435-2471,,,538-52435-2471,52435-2471-TR250,False,Top
Common mode chokes,1,L1,WURTH,744230900,744230900,732-2582-1-ND,,,,False,Bottom
"Fixed Inductor 10µH ± 20% 1,4A 3x3x1,2mm",1,L2,TDK,VLS3012CX-2R2M-1,"2,2µH-20%-1,89A-74 mOhms",,,810-VLS3012CX-2R2M-1,,False,Top
