Altium Designer Pick and Place Locations
D:\K_drive\Serveur\R&D\Bureau d'étude\ST\STM01 - I-NOVMICRO\3 - Fabrication\1 - Electronique\Fab Carte\VerB1\Pick and Place\Pick Place\STE01-Carte_Education_VerB1-Pick_and_Place-safe.txt

========================================================================================================================
File Design Information:

Date:       20/09/24
Time:       12:04
Revision:   Not in VersionControl
Variant:    Variant of STE01-Carte_Education-VerB_No_Bosh_sensor
Units used: mm

Designator Comment                Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation         Description                                                                                                     
R101       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -18.4000     -38.7000     270              "RES CMS NI0%-0W-0402 ±100ppm/°C"                                                                               
R110       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -10.0085     -34.7200     180              "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R108       "#Circular Reference?" TopLayer    RESC1005X40N_0402          -9.6520      11.6840      180              "RES CMS 10R1%-0,0625W-0402 ±200ppm/°C"                                                                         
R106       "#Circular Reference?" TopLayer    RESC1005X40N_0402          -9.6520      12.4460      180              "RES CMS 10R1%-0,0625W-0402 ±200ppm/°C"                                                                         
J1         "#Circular Reference?" BottomLayer 1011483010102LF            -14.0000     3.4500       180              "CONN header smd 2 positions 1,25 mm"                                                                           
R73        "#Circular Reference?" BottomLayer RESC1005X40N_0402          4.5709       -3.3881      360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
T4         "#Circular Reference?" BottomLayer SOT65P210X110-6N           -13.3750     -7.1499      90               "MOSFET N/P-CH 60V/50V SOT363"                                                                                  
D27        "#Circular Reference?" BottomLayer CDBQR0140L                 -13.0000     -9.5250      360              "Diode 40 V 100mA Surface Mount 0402C/SOD-923F"                                                                 
D26        "#Circular Reference?" BottomLayer CDBQR0140L                 -15.4150     -7.6200      270              "Diode 40 V 100mA Surface Mount 0402C/SOD-923F"                                                                 
TP76       PAD                    BottomLayer Testpoint_1mm              -8.8900      -40.1320     90               TESTPOINTPAD                                                                                                    
R103       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -4.9530      11.8750      270              "RES CMS 100K1%-0,1W-0402 ±100ppm/°C"                                                                           
R102       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -12.9540     -11.2400     90               "RES CMS 100K1%-0,1W-0402 ±100ppm/°C"                                                                           
R63        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -13.5800     -4.7728      180              "RES CMS 100K1%-0,1W-0402 ±100ppm/°C"                                                                           
TP75       PAD                    BottomLayer Testpoint_1mm              -16.7640     -38.7350     90               TESTPOINTPAD                                                                                                    
TP56       PAD                    BottomLayer Testpoint_1mm              12.9540      -39.6919     90               TESTPOINTPAD                                                                                                    
J8         "#Circular Reference?" TopLayer    FTS-105-01-F-D             -22.5692     -34.4724     84               "Embase FTS 10 point 1,27 mm vertical"                                                                          
TP45       PAD                    BottomLayer TESTPOINT_1MM              16.9278      16.6370      90               TESTPOINTPAD                                                                                                    
R60        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -22.2250     -6.4770      360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
D25        "#Circular Reference?" TopLayer    SOD2314X75N-SOD323HE       -23.4764     -13.4908     180              "Diode Schottky 40 V 1A Montage en surface SDO-323HE"                                                           
U22        "#Circular Reference?" TopLayer    SOT95P280X100-5N_SOT23-5   -22.6774     -10.1706     90               "Survolteur Régulateur à découpage IC Positif Réglable 1,23V 1 Sortie 75mA (Commutateur) SC-74A, SOT-753"       
R59        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -20.3200     -9.7790      270              "RES CMS 324K1%-0,0625W-0402 ±100ppm/°C"                                                                        
R56        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -20.3200     -11.8110     270              "RES CMS 1M1%-0,125W-0402 ±0ppm/°C"                                                                             
L5         "#Circular Reference?" TopLayer    VLS3012                    -26.0680     -9.6706      270              "Fixed Inductor 10µH ± 20% 1,12A 3x3x1,2mm"                                                                     
C87        "#Circular Reference?" TopLayer    0603-CAP                   -21.3360     -15.4940     270              "CAP CER 47µF 4V X5R 0603"                                                                                      
C86        "#Circular Reference?" TopLayer    0402-CAP                   -22.1674     -7.4930      360              "CAP CER 4,7µF 6,3V X5R 0402"                                                                                   
C85        "#Circular Reference?" TopLayer    0402-CAP                   -19.1770     -11.8110     270              "CAP CER 10pF 10V COG 0402 5%"                                                                                  
ANT1       "PCB ANT"              BottomLayer PCB_ANT                    7.1000       22.2000      180              "PCB ANTENAL"                                                                                                   
C55        "#Circular Reference?" TopLayer    0402-CAP                   22.5000      2.4000       90               "CAP CER 4,7µF 6,3V X5R 0402"                                                                                   
D24        "#Circular Reference?" BottomLayer DFN100X60X45-2N            17.1750      -7.2893      90               "ESD Suppressors / TVS Diodes Transient Voltage Suppressor PP"                                                  
C56        "#Circular Reference?" BottomLayer 0402-CAP                   20.6000      10.4349      360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
X1         "#Circular Reference?" BottomLayer WE_XTAL_CFPX_180           12.2000      17.8147      360              "QUARTZ 32MHz 9pF 10 ppm"                                                                                       
PCB1       "#Circular Reference?" TopLayer    MICROBIT_EDGE              0.0150       -56.1068     360              "Design PCB connector P0-P16, 3V3,GND"                                                                          
D23        "#Circular Reference?" BottomLayer SODFL1608X70N              15.2300      -49.8000     180              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D22        "#Circular Reference?" BottomLayer SODFL1608X70N              6.3988       -49.8000     360              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
U1         "#Circular Reference?" BottomLayer QFN50P300X300X100-17N      -13.7500     15.9300      135              "Standalone 1 cell 1,5A batterry with PowerPath"                                                                
U2         "#Circular Reference?" BottomLayer BQ27441DRZRG1A             -21.0000     7.4000       180              "LiCoO2, Li-Ion, Indicateur de charge batterie, alimentation 2.45 V à 4.5 V, interface I2C, SON-12"             
L3         "#Circular Reference?" TopLayer    WE-LQS_4025                -13.6111     2.6797       180              "Fixed Inductor 10µH ± 20% 1,4A 5,8mm"                                                                          
R7         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -17.0000     12.4000      135              NI                                                                                                              
LED6       "#Circular Reference?" TopLayer    APTD1608LZGCK-B            -3.8951      23.2763      99,5             "DEL standard - CMS WL-SMCW SMDMono TpVw Waterclr 0603 Blue"                                                    
U13        "#Circular Reference?" BottomLayer 2525020210001              0.0000       -22.0000     180              "Humidité, température Capteur I²C, SPI Sortie"                                                                 
U21        "#Circular Reference?" BottomLayer SOT95P280X100-5N_SOT23-5   -7.4000      10.3000      360              "5,5V Low loss Power distribution switch"                                                                       
R90        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -4.9530      9.7790       270              "RES CMS NI0%-0W-0402 ±100ppm/°C"                                                                               
R89        "#Circular Reference?" BottomLayer RESC1608X45N_0603          -6.9060      6.6000       180              "RES CMS 100K1%-0,1W-0603 ±100ppm/°C"                                                                           
C84        "#Circular Reference?" BottomLayer 0402-CAP                   -18.5055     15.6429      45               "CAP CER 10µF 6,3V X5R 0402"                                                                                    
C83        "#Circular Reference?" BottomLayer 0402-CAP                   -11.6400     6.4090       90               "CAP CER 10µF 6,3V X5R 0402"                                                                                    
X4         "#Circular Reference?" BottomLayer WE_XTAL_CFPX_180           10.1000      -36.6474     180              "QUARTZ 8MHz 12pF 20 ppm"                                                                                       
X2         "#Circular Reference?" BottomLayer WE_XTAL_IQXC-25            -0.5474      9.2874       90               "QUARTZ 32Khz 12pF 30 ppm"                                                                                      
TP74       RX2                    BottomLayer TESTPOINT_1MM              -4.7000      -2.8000      90               TESTPOINTPAD                                                                                                    
TP73       TX2                    BottomLayer TESTPOINT_1MM              -7.0000      -4.1000      90               TESTPOINTPAD                                                                                                    
TP72       TX3                    BottomLayer TESTPOINT_1MM              -10.7950     -46.9601     90               TESTPOINTPAD                                                                                                    
TP71       RX3                    BottomLayer TESTPOINT_1MM              -8.6747      -44.0001     90               TESTPOINTPAD                                                                                                    
TP70       PAD                    BottomLayer TESTPOINT_1MM              11.8076      -5.5521      90               TESTPOINTPAD                                                                                                    
TP69       PAD                    BottomLayer TESTPOINT_1MM              6.2000       -18.4000     90               TESTPOINTPAD                                                                                                    
TP68       PAD                    BottomLayer TESTPOINT_1MM              6.5000       -26.8520     90               TESTPOINTPAD                                                                                                    
TP67       PAD                    BottomLayer TESTPOINT_1MM              -7.7707      -16.2000     90               TESTPOINTPAD                                                                                                    
TP66       PAD                    BottomLayer TESTPOINT_1MM              -11.1147     -38.8620     90               TESTPOINTPAD                                                                                                    
TP65       PAD                    BottomLayer TESTPOINT_1MM              -16.0000     -42.6000     90               TESTPOINTPAD                                                                                                    
TP64       PAD                    BottomLayer TESTPOINT_1MM              -11.2297     -42.2738     90               TESTPOINTPAD                                                                                                    
TP63       PAD                    BottomLayer TESTPOINT_1MM              -9.3980      -42.2910     90               TESTPOINTPAD                                                                                                    
TP62       PAD                    BottomLayer TESTPOINT_1MM              10.1845      4.8631       90               TESTPOINTPAD                                                                                                    
TP61       PAD                    BottomLayer TESTPOINT_1MM              -1.0853      7.3781       90               TESTPOINTPAD                                                                                                    
TP60       PAD                    BottomLayer TESTPOINT_1MM              19.2000      -24.3000     90               TESTPOINTPAD                                                                                                    
TP59       PAD                    BottomLayer TESTPOINT_1MM              -27.6000     -7.1000      90               TESTPOINTPAD                                                                                                    
TP58       PAD                    BottomLayer TESTPOINT_1MM              -14.4425     -48.4402     90               TESTPOINTPAD                                                                                                    
TP57       PAD                    TopLayer    TESTPOINT_1MM              -19.9500     -25.3000     90               TESTPOINTPAD                                                                                                    
TP55       PAD                    BottomLayer TESTPOINT_1MM              -4.3219      7.7059       90               TESTPOINTPAD                                                                                                    
TP54       PAD                    BottomLayer TESTPOINT_1MM              -11.8000     27.4000      90               TESTPOINTPAD                                                                                                    
TP53       PAD                    TopLayer    TESTPOINT_1MM              -5.8215      27.3881      90               TESTPOINTPAD                                                                                                    
TP52       PAD                    BottomLayer TESTPOINT_1MM              -21.9302     1.7405       90               TESTPOINTPAD                                                                                                    
TP51       PAD                    BottomLayer TESTPOINT_1MM              -8.8597      19.7863      0                TESTPOINTPAD                                                                                                    
TP50       PAD                    BottomLayer TESTPOINT_1MM              -11.6287     21.4312      90               TESTPOINTPAD                                                                                                    
TP49       PAD                    BottomLayer TESTPOINT_1MM              -10.5087     11.5089      90               TESTPOINTPAD                                                                                                    
TP48       PAD                    BottomLayer TESTPOINT_1MM              11.3000      -40.9800     90               TESTPOINTPAD                                                                                                    
TP47       PAD                    BottomLayer TESTPOINT_1MM              3.6817       -43.9000     90               TESTPOINTPAD                                                                                                    
TP46       +3V3                   BottomLayer TESTPOINT_1MM              -14.2000     -16.5000     180              TESTPOINTPAD                                                                                                    
TP44       T_TX2                  BottomLayer TESTPOINT_1MM              6.4450       -41.6114     90               TESTPOINTPAD                                                                                                    
